Stkcd,Stknme,Listdt,Cuntrycd,Conme,Conme_en,Indcd,Indnme,Nindcd,Nindnme,Nnindcd,Nnindnme,Estbdt,PROVINCE,PROVINCECODE,CITY,CITYCODE,OWNERSHIPTYPE,OWNERSHIPTYPECODE,Favaldt,Curtrd,Ipoprm,Ipoprc,Ipocur,Nshripo,Parvcur,Ipodt,Parval,Sctcd,Statco,Crcd,Statdt,Commnt,Markettype
802,北京文化,1998-01-08,10,北京京西文化旅游股份有限公司,"Beijing Jingxi Culture & Tourism Co., Ltd.",2,公用事业,L10,广播电影电视业,R86,广播、电视、电影和影视录音制作业,1997-11-18,北京市,110000,北京市,110000,其他,P0399,1998-01-08,CNY,3.7200,4.7200,CNY,30000,CNY,1997-10-31,1.000,2,A,,2024-01-15,,4
803,山高环能,1998-03-03,10,山高环能集团股份有限公司,"Shandong High Speed Renewable Energy Group Limited",2,公用事业,K99,其他社会服务业,N77,生态保护和环境治理业,1988-03-21,四川省,510000,南充市,511300,国营或国有控股,P0301,1998-03-03,CNY,0.0000,1.0000,CNY,6970,CNY,1989-12-28,1.000,2,A,,2024-01-15,,4
805,"*ST 炎黄",1998-05-29,10,江苏炎黄在线物流股份有限公司,"Jiangsu Chinese Online Logistics Co., Ltd.",2,公用事业,G87,计算机应用服务业,I65,软件和信息技术服务业,1987-05-12,江苏省,320000,常州市,320400,私营企业,P0306,1998-05-29,CNY,0.0000,1.0000,CNY,14418,CNY,1987-05-01,1.000,2,D,,2013-03-27,,4
806,银河退,1998-04-16,10,北海银河生物产业投资股份有限公司,"Galaxy Biomedical Investment Co., Ltd.",5,工业,C76,电器机械及器材制造业,C38,电气机械及器材制造业,1998-03-05,广西壮族自治区,450000,北海市,450500,国营或国有控股,P0301,1998-04-16,CNY,4.9200,5.9200,CNY,21000,CNY,1998-02-18,1.000,2,D,,2023-07-06,,4
807,云铝股份,1998-04-08,10,云南铝业股份有限公司,"Yunnan Aluminium Co., Ltd.",5,工业,C67,有色金属冶炼及压延加工业,C32,有色金属冶炼及压延加工业,1998-03-20,云南省,530000,昆明市,530100,国营或国有控股,P0301,1998-04-08,CNY,3.9000,4.9000,CNY,80000,CNY,1998-02-25,1.000,2,A,,2024-01-15,,4
809,铁岭新城,1998-06-16,10,铁岭新城投资控股(集团)股份有限公司,"Tieling Newcity Investment Holding (Group) Limited",2,公用事业,K01,公共设施服务业,N78,公共设施管理业,1990-04-30,辽宁省,210000,铁岭市,211200,私营企业,P0306,1998-06-16,CNY,0.0000,1.0000,CNY,35000,CNY,1988-11-01,1.000,2,A,,2024-01-15,,4
810,创维数字,1998-06-02,10,创维数字股份有限公司,"Skyworth Digital Co., Ltd.",5,工业,G,信息技术业,C39,计算机、通信和其他电子设备制造业,1988-07-01,四川省,510000,遂宁市,510900,中外合资,P0303,1998-06-02,CNY,0.0000,1.0000,CNY,882,CNY,1988-09-01,1.000,2,A,,2024-01-15,,4
811,冰轮环境,1998-05-28,10,冰轮环境技术股份有限公司,"Moon Environment Technology Co., Ltd.",5,工业,C71,普通机械制造业,C34,通用设备制造业,1988-11-01,山东省,370000,烟台市,370600,私营企业,P0306,1998-05-28,CNY,10.0000,110.0000,CNY,110,CNY,1988-12-18,100.000,2,A,,2024-01-15,,4
812,陕西金叶,1998-06-23,10,陕西金叶科教集团股份有限公司,"Shaanxi Jinye Science Technology and Education Group Co., Ltd.",5,工业,C35,印刷业,C23,印刷和记录媒介复制业,1998-05-21,陕西省,610000,西安市,610100,私营企业,P0306,1998-06-23,CNY,4.2600,5.2600,CNY,30000,CNY,1998-05-04,1.000,2,A,,2024-01-15,,4
813,德展健康,1998-05-19,10,德展大健康股份有限公司,"Dezhan Healthcare Company Limited",5,工业,C81,医药制造业,C27,医药制造业,1995-03-07,新疆维吾尔自治区,650000,乌鲁木齐市,650100,国营或国有控股,P0301,1998-05-19,CNY,3.5700,4.5700,CNY,47000,CNY,1998-04-09,1.000,2,A,,2024-01-15,,4
815,美利云,1998-06-09,10,中冶美利云产业投资股份有限公司,"Zhongye Meiliyun Industrial Investment Co., Ltd.",5,工业,C31,造纸及纸制品业,C22,造纸及纸制品业,1998-05-26,宁夏回族自治区,640000,中卫市,640500,国营或国有控股,P0301,1998-06-09,CNY,3.5100,4.5100,CNY,50000,CNY,1998-04-27,1.000,2,A,,2024-01-15,,4
816,智慧农业,1997-08-18,10,江苏农华智慧农业科技股份有限公司,"Jiangsu Nonghua Intelligent Agriculture Technology Co., Ltd.",5,工业,C71,普通机械制造业,C34,通用设备制造业,1997-08-11,江苏省,320000,盐城市,320900,私营企业,P0306,1997-08-18,CNY,7.5200,8.5200,CNY,55000,CNY,1997-07-23,1.000,2,A,,2024-01-15,,4
817,辽油退市,1998-05-28,10,辽河金马油田股份有限公司,"Liaohe Jinma Oilfield Company Limited",5,工业,B03,石油和天然气开采业,B07,石油和天然气开采业,1998-05-06,辽宁省,210000,盘锦市,211100,国营或国有控股,P0301,1998-05-28,CNY,2.8600,3.8600,CNY,200000,CNY,1998-04-16,1.000,2,D,,2006-01-04,,4
818,航锦科技,1997-10-17,10,航锦科技股份有限公司,"Hangjin Technology Co., Ltd.",5,工业,C43,化学原料及化学制品制造业,C26,化学原料及化学制品制造业,1997-09-16,辽宁省,210000,葫芦岛市,211400,国营或国有控股,P0301,1997-10-17,CNY,5.3100,6.3100,CNY,90000,CNY,1997-09-03,1.000,2,A,,2024-01-15,,4
